Catégorie astrologique,Moyenne de l’échantillon,Moyenne de la distribution,Écart-type,Z-score,Proba empirique (surval),Proba empirique (sous-val),P-value (surval),P-value (sous-val)
Soleil,5.42,4.75,0.41,1.63,0.04,0.96,0.05,0.95
Lune,5.08,5.56,0.78,-0.61,0.71,0.29,0.73,0.27
Mercure,4.83,4.95,0.66,-0.18,0.53,0.47,0.57,0.43
Vénus,5.67,5.49,0.75,0.23,0.38,0.62,0.41,0.59
Mars,4.92,5.47,0.64,-0.86,0.79,0.21,0.80,0.20
Jupiter,7.42,5.68,0.85,2.04,0.02,0.98,0.02,0.98
Saturne,6.67,5.68,0.85,1.16,0.11,0.89,0.12,0.88
Uranus,3.25,5.52,0.89,-2,65,0.993,0.00,0.995,0.01
Neptune,5.67,6.06,0.89,-0.45,0.65,0.35,0.67,0.33
Pluton,6.08,5.84,0.90,0.27,0.39,0.61,0.39,0.61
Représentation extensive (R),4.08,3.61,0.53,0.89,0.17,0.83,0.19,0.81
Existence extensive (E),5.92,4.71,0.61,1.98,0.01,0.99,0.02,0.98
Transcendance extensive (T),3.83,5.14,0.63,-2.07,0.98,0.02,0.98,0.02
représentation intensive (r),4.33,4.01,0.53,0.60,0.24,0.76,0.27,0.73
existence intensive (e),4.08,4.58,0.63,-0.79,0.76,0.24,0.79,0.21
transcendance intensive (t),4.75,4.60,0.65,0.24,0.39,0.61,0.41,0.59
Pouvoir extensif (P),4.17,4.12,0.52,0.09,0.44,0.56,0.46,0.54
pouvoir intensif (p),4.83,5.22,0.68,-1,85,0.966,0.31,0.968,0.28
Bélier,6.50,6.71,0.19,-1.09,0.66,0.34,0.86,0.14
Taureau,6.50,6.45,0.26,0.18,0.39,0.61,0.43,0.57
Gémeaux,7.08,6.82,0.24,1.10,0.13,0.87,0.14,0.86
Cancer,5.58,5.88,0.35,-0.85,0.76,0.24,0.80,0.20
Lion,5.00,5.04,0.26,-0.16,0.50,0.50,0.56,0.44
Vierge,5.58,5.56,0.20,0.10,0.39,0.61,0.46,0.54
Balance,6.75,6.82,0.19,-0.36,0.52,0.48,0.64,0.36
Scorpion,4.92,4.57,0.32,1.09,0.11,0.89,0.14,0.86
Sagittaire,7.00,7.03,0.24,-0.10,0.49,0.51,0.54,0.46
Capricorne,8.25,8.36,0.11,-1.03,0.73,0.27,0.85,0.15
Verseau,8.75,8.62,0.19,0.69,0.19,0.81,0.25,0.75
Poissons,6.08,6.13,0.20,-0.24,0.49,0.51,0.60,0.40
Force d'excitation,1.58,1.69,0.06,-1.86,0.87,0.13,0.97,0.03
Force d'inhibition,1.42,1.31,0.06,1.86,0.00,1.00,0.03,0.97
Vitesse d'excitation,3.17,3.13,0.09,0.38,0.19,0.81,0.35,0.65
Lenteur d'excitation,2.00,2.05,0.12,-0.42,0.55,0.45,0.66,0.34
Vitesse d'inhibition,2.25,2.31,0.07,-0.88,0.61,0.39,0.81,0.19
Lenteur d'inhibition,2.58,2.50,0.07,1.12,0.04,0.96,0.13,0.87
Sens des Contraires,1.67,1.73,0.08,-0.79,0.60,0.40,0.79,0.21
Sens des Dosages,1.83,1.79,0.06,0.70,0.05,0.95,0.24,0.76
Sens des Ensembles,2.50,2.48,0.06,0.33,0.14,0.86,0.37,0.63
Ascendant,2.17,2.20,0.23,-0.13,0.48,0.52,0.55,0.45
Milieu-du-Ciel,2.00,2.22,0.22,-0.99,0.79,0.21,0.84,0.16
Descendant,2.92,2.68,0.28,0.83,0.17,0.83,0.20,0.80
Fond-du-Ciel,2.92,2.90,0.21,0.09,0.39,0.61,0.46,0.54
Maison I,5.42,5.23,0.61,0.31,0.35,0.65,0.38,0.62
Maison II,6.25,6.76,0.42,-1.20,0.87,0.13,0.89,0.11
Maison III,4.83,5.41,0.67,-0.86,0.79,0.21,0.81,0.19
Maison IV,6.33,5.85,0.64,0.76,0.21,0.79,0.22,0.78
Maison V,7.67,7.58,0.56,0.16,0.42,0.58,0.44,0.56
Maison VI,6.58,6.75,0.85,-0.20,0.58,0.42,0.58,0.42
Maison VII,7.17,6.67,1.03,0.49,0.29,0.71,0.31,0.69
Maison VIII,7.50,6.98,0.74,0.70,0.21,0.79,0.24,0.76
Maison IX,6.58,6.34,1.05,0.24,0.41,0.59,0.41,0.59
Maison X,5.42,5.97,0.99,-0.56,0.69,0.32,0.71,0.29
Maison XI,7.67,7.43,0.79,0.30,0.37,0.63,0.38,0.62
Maison XII,6.58,7.04,1.31,-0.35,0.61,0.39,0.64,0.36
Quadrant oriental diurne,2.83,2.64,0.24,0.80,0.16,0.84,0.21,0.79
Quadrant occidental diurne,2.67,2.72,0.24,-0.22,0.51,0.49,0.59,0.41
Quadrant occidental nocturne,2.33,2.43,0.25,-0.40,0.59,0.41,0.66,0.34
Quadrant oriental nocturne,2.17,2.21,0.21,-0.19,0.51,0.49,0.57,0.43
Hémisphère oriental,2.33,2.46,0.24,-0.54,0.64,0.36,0.71,0.29
Hémisphère occidental,2.58,2.52,0.24,0.26,0.33,0.67,0.40,0.60
Hémisphère diurne,2.08,2.23,0.24,-0.61,0.68,0.32,0.73,0.27
Hémisphère nocturne,3.00,2.79,0.23,0.92,0.14,0.86,0.18,0.82
Conjonction,4.67,4.41,0.72,0.36,0.67,0.33,0.64,0.36
Opposition,2.92,2.21,0.53,1.34,0.91,0.09,0.91,0.09
Carré,4.00,3.35,0.66,0.98,0.85,0.15,0.84,0.16
Trigone,2.75,2.60,0.42,0.35,0.67,0.33,0.64,0.36
Sextile,0.67,0.48,0.18,0.99,0.88,0.12,0.84,0.16
