Catégorie astrologique;Moyenne de l’échantillon;Moyenne de la distribution;Écart-type;Z-score;Proba empirique (surval);Proba empirique (sous-val);P-value (surval);P-value (sous-val)
Soleil;5.417;4.771;0.407;1.587;0.046;0.954;0.056;0.944
Lune;5.083;5.571;0.793;-0.614;0.709;0.291;0.730;0.270
Mercure;4.833;4.914;0.654;-0.124;0.515;0.485;0.549;0.451
Vénus;5.667;5.465;0.756;0.266;0.363;0.637;0.395;0.605
Mars;4.917;5.441;0.643;-0.815;0.760;0.240;0.793;0.207
Jupiter;7.417;5.649;0.813;2.174;0.011;0.989;0.015;0.985
Saturne;6.667;5.699;0.818;1.183;0.102;0.898;0.118;0.882
Uranus;3.250;5.545;0.875;-2.622;0.995;0.005;0.996;0.004
Neptune;5.667;6.133;0.869;-0.536;0.665;0.335;0.704;0.296
Pluton;6.083;5.812;0.898;0.302;0.368;0.632;0.381;0.619
Représentation extensive (R);4.083;3.578;0.551;0.917;0.165;0.835;0.180;0.820
Existence extensive (E);5.917;4.689;0.583;2.105;0.019;0.981;0.018;0.982
Transcendance extensive (T);3.833;5.182;0.602;-2.240;0.990;0.010;0.987;0.013
représentation intensive (r);4.333;4.031;0.543;0.558;0.269;0.731;0.289;0.711
existence intensive (e);4.083;4.589;0.621;-0.815;0.773;0.227;0.792;0.208
transcendance intensive (t);4.750;4.578;0.637;0.270;0.377;0.623;0.394;0.606
Pouvoir extensif (P);4.167;4.113;0.545;0.099;0.427;0.573;0.461;0.539
pouvoir intensif (p);4.833;5.240;0.689;-0.590;0.705;0.295;0.722;0.278
Bélier;6.500;6.705;0.196;-1.046;0.635;0.365;0.852;0.148
Taureau;6.500;6.465;0.252;0.141;0.406;0.594;0.444;0.556
Gémeaux;7.083;6.825;0.235;1.101;0.121;0.879;0.135;0.865
Cancer;5.583;5.870;0.350;-0.819;0.757;0.243;0.794;0.206
Lion;5.000;5.040;0.256;-0.158;0.504;0.496;0.563;0.437
Vierge;5.583;5.561;0.203;0.111;0.396;0.604;0.456;0.544
Balance;6.750;6.826;0.197;-0.387;0.534;0.466;0.651;0.349
Scorpion;4.917;4.560;0.321;1.111;0.119;0.881;0.133;0.867
Sagittaire;7.000;7.039;0.230;-0.170;0.493;0.507;0.568;0.432
Capricorne;8.250;8.364;0.113;-1.003;0.726;0.274;0.842;0.158
Verseau;8.750;8.616;0.197;0.681;0.192;0.808;0.248;0.752
Poissons;6.083;6.130;0.201;-0.232;0.486;0.514;0.592;0.408
Force d'excitation;1.583;1.688;0.054;-1.918;0.881;0.119;0.972;0.028
Force d'inhibition;1.417;1.312;0.054;1.918;0.000;1.000;0.028;0.972
Vitesse d'excitation;3.167;3.133;0.087;0.383;0.200;0.800;0.351;0.649
Lenteur d'excitation;2.000;2.044;0.121;-0.362;0.518;0.482;0.641;0.359
Vitesse d'inhibition;2.250;2.316;0.073;-0.905;0.615;0.385;0.817;0.183
Lenteur d'inhibition;2.583;2.507;0.070;1.096;0.027;0.973;0.137;0.863
Sens des Contraires;1.667;1.730;0.079;-0.794;0.601;0.399;0.786;0.214
Sens des Dosages;1.833;1.793;0.059;0.680;0.044;0.956;0.248;0.752
Sens des Ensembles;2.500;2.477;0.062;0.371;0.149;0.851;0.355;0.645
Ascendant;2.167;2.190;0.219;-0.108;0.465;0.535;0.543;0.457
Milieu-du-Ciel;2.000;2.210;0.225;-0.932;0.755;0.245;0.824;0.176
Descendant;2.917;2.706;0.273;0.772;0.182;0.818;0.220;0.780
Fond-du-Ciel;2.917;2.894;0.207;0.111;0.389;0.611;0.456;0.544
Maison I;5.417;5.247;0.615;0.276;0.381;0.619;0.391;0.609
Maison II;6.250;6.756;0.407;-1.243;0.865;0.135;0.893;0.107
Maison III;4.833;5.393;0.681;-0.821;0.774;0.226;0.794;0.206
Maison IV;6.333;5.858;0.662;0.718;0.215;0.785;0.236;0.764
Maison V;7.667;7.584;0.565;0.147;0.421;0.579;0.442;0.558
Maison VI;6.583;6.791;0.870;-0.238;0.583;0.417;0.594;0.406
Maison VII;7.167;6.729;0.942;0.465;0.312;0.688;0.321;0.679
Maison VIII;7.500;6.983;0.779;0.664;0.252;0.748;0.253;0.747
Maison IX;6.583;6.305;1.061;0.263;0.372;0.628;0.396;0.604
Maison X;5.417;5.941;0.999;-0.525;0.683;0.317;0.700;0.300
Maison XI;7.667;7.467;0.837;0.239;0.400;0.600;0.406;0.594
Maison XII;6.583;6.949;1.262;-0.290;0.590;0.410;0.614;0.386
Quadrant oriental diurne;2.833;2.644;0.248;0.765;0.166;0.834;0.222;0.778
Quadrant occidental diurne;2.667;2.721;0.249;-0.220;0.515;0.485;0.587;0.413
Quadrant occidental nocturne;2.333;2.440;0.254;-0.420;0.585;0.415;0.663;0.337
Quadrant oriental nocturne;2.167;2.195;0.206;-0.135;0.472;0.528;0.554;0.446
Hémisphère oriental;2.333;2.454;0.241;-0.502;0.620;0.380;0.692;0.308
Hémisphère occidental;2.583;2.532;0.239;0.214;0.359;0.641;0.415;0.585
Hémisphère diurne;2.083;2.224;0.239;-0.588;0.668;0.332;0.722;0.278
Hémisphère nocturne;3.000;2.790;0.236;0.892;0.143;0.857;0.186;0.814
Conjonction;4.667;4.406;0.696;0.375;0.329;0.671;0.354;0.646
Opposition;2.917;2.180;0.545;1.352;0.082;0.918;0.088;0.912
Carré;4.000;3.303;0.651;1.069;0.126;0.874;0.142;0.858
Trigone;2.750;2.604;0.397;0.367;0.319;0.681;0.357;0.643
Sextile;0.667;0.498;0.178;0.945;0.119;0.881;0.172;0.828
